givens,proportion,inside,outside,level,level-dev,variables,variables-dev,used,used-dev,original,original-dev,conflicts,conflicts-dev,learned,learned-dev,limit,limit-dev,agility,agility-dev,memory,memory-dev
1,0.00,0.00,1.00,204.49,3.24,3292.00,0.00,8.78,0.91,404.00,0.00,20.53,5.67,20.53,5.67,1000.00,0.00,1.03,0.30,2.20,0.00
1,1.00,1.00,0.00,204.76,2.65,3280.00,0.00,9.21,1.22,403.00,0.00,20.48,7.46,20.48,7.46,1000.00,0.00,1.06,0.44,2.20,0.00
10,0.00,0.00,10.00,180.30,6.76,3039.99,5.36,16.85,2.22,395.00,0.00,27.15,25.70,27.15,25.70,1004.14,20.79,1.45,1.06,2.20,0.01
10,0.10,1.00,9.00,180.25,7.21,3029.90,5.29,17.41,2.30,394.00,0.00,28.13,26.41,28.13,26.41,1003.80,20.64,1.54,1.11,2.20,0.01
10,0.20,2.00,8.00,178.88,8.21,3019.06,5.23,17.84,2.36,393.00,0.00,28.49,27.91,28.49,27.91,1004.27,21.79,1.56,1.12,2.20,0.01
10,0.30,3.00,7.00,179.91,8.07,3008.46,5.90,18.05,2.18,392.00,0.00,27.68,26.94,27.68,26.94,1004.02,21.61,1.53,1.06,2.20,0.01
10,0.40,4.00,6.00,180.84,7.11,2999.81,8.03,18.21,2.15,391.00,0.00,25.44,20.05,25.44,20.04,1001.89,14.09,1.46,0.93,2.20,0.00
10,0.50,5.00,5.00,180.73,7.62,2989.29,5.93,18.94,2.28,390.00,0.00,28.21,23.95,28.21,23.95,1003.01,18.08,1.62,1.04,2.20,0.01
10,0.60,6.00,4.00,180.73,6.52,2984.77,7.36,18.31,2.01,389.00,0.00,22.88,20.75,22.87,20.75,1002.18,16.32,1.31,0.82,2.20,0.00
10,0.70,7.00,3.00,181.49,6.52,2976.10,6.40,18.95,2.10,388.00,0.00,24.46,16.85,24.46,16.85,1001.19,10.85,1.45,0.86,2.20,0.00
10,0.80,8.00,2.00,181.19,6.55,2971.73,6.74,18.86,2.07,387.00,0.00,22.70,14.27,22.65,14.23,1000.65,8.02,1.37,0.78,2.20,0.00
10,0.90,9.00,1.00,181.00,7.16,2965.17,8.10,19.13,2.08,385.98,0.24,23.84,16.85,23.66,16.73,1001.05,10.88,1.42,0.84,2.20,0.00
10,1.00,10.00,0.00,181.81,7.30,2959.72,9.18,19.17,2.01,384.92,0.52,23.20,15.57,22.61,15.12,1001.13,10.56,1.38,0.79,2.20,0.00
20,0.00,0.00,20.00,156.27,10.45,2776.84,8.72,26.18,3.50,385.00,0.00,42.36,48.57,42.36,48.57,1013.38,40.56,2.24,1.66,2.21,0.02
20,0.05,1.00,19.00,156.19,11.31,2765.96,8.45,26.69,3.55,384.00,0.00,43.26,51.08,43.26,51.08,1013.70,42.53,2.28,1.69,2.21,0.02
20,0.10,2.00,18.00,154.85,11.48,2756.14,9.29,26.89,3.45,383.00,0.00,43.20,48.64,43.20,48.64,1014.54,40.98,2.29,1.73,2.21,0.03
20,0.15,3.00,17.00,154.74,11.16,2748.03,9.94,26.89,3.15,382.00,0.00,38.41,44.03,38.41,44.03,1009.98,35.18,2.13,1.51,2.20,0.02
20,0.20,4.00,16.00,156.53,10.34,2740.20,9.69,26.99,3.02,381.00,0.00,36.99,41.77,36.98,41.77,1009.06,33.64,2.05,1.45,2.20,0.02
20,0.25,5.00,15.00,154.55,10.45,2729.86,9.09,27.00,2.82,380.00,0.00,34.28,37.41,34.28,37.40,1008.00,30.69,1.93,1.38,2.20,0.02
20,0.30,6.00,14.00,154.92,10.39,2725.29,10.60,26.96,2.67,379.00,0.05,32.34,34.91,32.31,34.89,1007.32,28.82,1.85,1.32,2.20,0.01
20,0.35,7.00,13.00,156.23,10.80,2720.40,10.69,27.29,2.80,378.00,0.06,34.27,36.20,34.15,36.21,1007.98,30.18,1.96,1.36,2.20,0.02
20,0.40,8.00,12.00,154.79,10.15,2712.19,10.99,27.33,2.67,377.00,0.07,32.27,32.43,32.25,32.42,1006.67,26.67,1.88,1.31,2.20,0.01
20,0.45,9.00,11.00,156.99,10.14,2710.96,13.04,27.24,2.58,375.96,0.37,29.98,27.99,29.30,27.72,1004.49,22.00,1.77,1.20,2.20,0.01
20,0.50,10.00,10.00,155.90,10.71,2702.93,12.78,27.32,2.55,374.96,0.37,30.20,30.76,29.03,29.63,1004.75,23.52,1.74,1.19,2.20,0.01
20,0.55,11.00,9.00,159.10,9.13,2698.66,13.72,27.17,2.36,373.91,0.57,26.33,21.49,25.42,21.02,1002.28,15.28,1.59,0.99,2.20,0.01
20,0.60,12.00,8.00,157.85,9.52,2692.75,17.24,27.30,2.34,372.76,0.94,27.64,24.47,25.51,23.05,1002.91,17.60,1.59,1.02,2.20,0.01
20,0.65,13.00,7.00,159.51,8.48,2685.85,22.79,27.07,2.10,371.48,1.46,26.22,18.51,21.55,15.56,1001.06,10.50,1.37,0.81,2.20,0.00
20,0.70,14.00,6.00,159.74,9.09,2683.23,25.06,27.00,2.15,370.31,1.71,28.30,20.93,22.60,18.02,1001.64,12.78,1.44,0.89,2.20,0.00
20,0.75,15.00,5.00,160.53,8.82,2675.02,27.76,27.14,2.13,368.98,1.97,26.19,20.11,20.68,16.71,1001.38,12.39,1.32,0.79,2.20,0.01
20,0.80,16.00,4.00,162.19,8.19,2664.53,31.60,27.05,1.98,367.70,2.17,27.95,17.05,18.47,11.38,1000.47,6.85,1.19,0.66,2.20,0.00
20,0.85,17.00,3.00,162.76,8.05,2656.37,37.21,27.22,2.01,366.22,2.66,30.14,18.54,18.02,10.06,1000.39,6.40,1.16,0.59,2.20,0.00
20,0.90,18.00,2.00,164.82,8.44,2647.03,40.70,27.18,1.98,364.80,2.90,33.42,19.78,16.55,8.67,1000.33,5.72,1.06,0.53,2.20,0.00
20,0.95,19.00,1.00,166.83,6.79,2626.30,46.84,27.34,1.90,362.07,3.66,34.42,19.55,14.86,5.72,1000.10,3.22,0.93,0.40,2.20,0.00
20,1.00,20.00,0.00,167.36,7.45,2616.15,51.81,27.56,1.97,360.37,4.16,37.00,20.33,15.02,6.91,1000.17,4.10,0.92,0.42,2.20,0.00
30,0.00,0.00,30.00,132.29,12.71,2532.20,12.24,34.83,4.71,375.00,0.00,63.14,76.34,63.14,76.33,1029.21,62.66,3.07,2.22,2.22,0.04
30,0.05,2.00,28.00,131.67,12.27,2515.03,12.63,34.45,3.84,373.00,0.03,52.58,67.66,52.57,67.64,1020.87,53.96,2.72,1.98,2.22,0.04
30,0.10,3.00,27.00,132.08,11.53,2505.52,13.56,34.35,3.70,372.00,0.00,47.32,53.41,47.28,53.37,1017.00,44.70,2.57,1.87,2.21,0.03
30,0.15,5.00,25.00,131.96,12.31,2489.73,13.29,34.83,3.28,370.00,0.08,44.32,46.27,44.29,46.25,1013.44,38.61,2.49,1.71,2.21,0.03
30,0.20,6.00,24.00,133.48,11.41,2483.15,13.02,34.93,3.52,369.00,0.07,43.00,48.76,42.83,48.71,1013.53,40.23,2.45,1.73,2.21,0.03
30,0.25,8.00,22.00,132.87,11.43,2472.02,15.26,34.80,3.05,366.97,0.32,36.49,39.80,35.97,39.56,1008.28,31.66,2.20,1.52,2.21,0.02
30,0.30,9.00,21.00,131.91,11.94,2464.23,18.74,35.04,3.04,365.79,1.07,37.91,40.37,36.22,39.64,1008.75,32.55,2.19,1.52,2.21,0.02
30,0.35,11.00,19.00,135.20,10.26,2459.53,19.18,34.54,2.69,363.79,0.91,30.46,27.86,28.46,27.25,1004.06,21.38,1.86,1.22,2.20,0.02
30,0.40,12.00,18.00,135.44,9.64,2449.34,24.52,34.34,2.54,362.52,1.47,28.81,23.53,24.77,21.61,1002.56,16.45,1.64,1.07,2.20,0.01
30,0.45,14.00,16.00,137.63,10.42,2431.34,34.17,34.52,2.46,359.51,2.72,32.33,26.00,24.50,23.05,1002.94,17.51,1.58,1.10,2.20,0.01
30,0.50,15.00,15.00,139.24,8.76,2423.02,38.35,34.55,2.36,357.87,3.15,31.18,20.59,20.34,15.42,1001.00,10.41,1.37,0.86,2.20,0.01
30,0.55,16.00,14.00,140.69,8.58,2414.78,43.07,34.53,2.27,356.19,3.63,33.45,20.00,18.63,12.66,1000.56,7.46,1.26,0.74,2.20,0.01
30,0.60,18.00,12.00,143.69,8.78,2392.88,49.66,34.60,2.21,352.49,4.14,38.44,21.47,17.05,11.66,1000.66,8.07,1.13,0.66,2.20,0.01
30,0.65,20.00,10.00,145.83,7.35,2362.03,57.53,35.11,2.23,348.13,5.09,39.20,21.91,14.63,8.84,1000.32,5.65,0.93,0.50,2.20,0.01
30,0.70,21.00,9.00,147.17,7.97,2354.59,53.70,35.30,2.08,346.55,5.21,41.68,22.22,15.30,12.79,1001.13,10.56,0.93,0.61,2.20,0.01
30,0.75,22.00,8.00,149.89,6.12,2336.57,59.52,35.67,2.13,343.93,6.04,42.56,21.33,13.33,5.72,1000.10,3.10,0.83,0.37,2.20,0.00
30,0.80,24.00,6.00,153.44,5.16,2327.01,53.02,35.52,1.87,340.14,5.38,36.82,18.49,12.55,4.36,1000.06,2.37,0.75,0.30,2.20,0.00
30,0.85,26.00,4.00,156.08,4.13,2323.27,43.80,35.34,1.59,337.01,4.83,29.33,15.47,12.35,2.93,1000.01,0.89,0.71,0.22,2.20,0.00
30,0.90,27.00,3.00,158.45,3.62,2328.15,37.13,35.14,1.53,335.91,4.30,26.94,14.00,12.25,2.62,1000.00,0.00,0.70,0.20,2.20,0.00
30,0.95,29.00,1.00,162.24,3.04,2346.30,24.24,34.55,1.25,335.05,3.27,22.61,12.38,12.48,2.42,1000.00,0.00,0.70,0.18,2.20,0.00
